text,clean_text,len
"A guy walks into a bar and sits down next to an extremely gorgeous woman. The first thing he notices about her though, are her pants. They were skin-tight, high-waisted and had no obvious mechanism (zipper, buttons or velcro) for opening them. After several minutes of puzzling over how she got the pants up over her hips, he finally worked up the nerve to ask her. ""Excuse me miss, but how do you get into your pants?"" ""Well,"" she replied, ""you can start by buying me a drink.""",guy walk bar sits next extremely gorgeous woman first thing notice though pant obvious mechanism zipper button velcro opening several minute puzzling got pant hip finally worked nerve ask excuse miss get pant well replied start buying drink,88
"A man, recently completing a routine physical examination receives a phone call from his doctor. The doctor says, ""I have some good news and some bad news."" The man says, ""OK, give me the good news first."" The doctor says, ""The good news is, you have 24 hours to live."" The man replies, ""Shit! That's the good news? Then what's the bad news?"" The doctor says, ""The bad news is, I forgot to call you yesterday.""",man recently completing routine physical examination receives phone call doctor doctor say good news bad news man say ok give good news first doctor say good news _num_ hour live man reply shit good news bad news doctor say bad news forgot call yesterday,76
"A teacher is explaining to her class how different languages use negatives differently. She says, ""In all languages, a positive followed by a negative or a negative followed by a positive makes a negative. In some languages, two negatives together make a positive, while in others they make a negative. But in no language do two positives make a negative."" One of the students puts up his hand and says, ""Yeah, right.""",teacher explaining class different language use negative differently say language positive followed negative negative followed positive make negative language two negative together make positive others make negative language two positive make negative one student put hand say yeah right,72
Q. Did you hear about the dyslexic devil worshiper? A. He sold his soul to Santa.,q hear dyslexic devil worshiper sold soul santa,16
"What do you call an American in the finals of the world cup? ""Hey Beer Man!""",call american final world cup hey beer man,16
"A man and Cindy Crawford get stranded on a desert island. After a couple of days they fall in love and start sleeping together. Time pass the man seems frustrated, Cindy asks if there is anything she can do? He says there is one thing, ""Could you put on this baseball cap and go to the other side of the island and answer me when I call you Bob?"" She agrees. Next day he is walking on the other side of the island, runs into her and says ""Hi Bob!"" She says ""Hello, what's up?"" He replies: ""Bob you won't believe it: I've been sleeping with Cindy Crawford for the past two weeks!!!!""",man cindy crawford get stranded desert island couple day fall love start sleeping together time pas man seems frustrated cindy asks anything say one thing could put baseball cap go side island answer call bob agrees next day walking side island run say hi bob say hello reply bob wo believe sleeping cindy crawford past two week,113
How many men does it take to screw in a light bulb? One...men will screw anything.,many men take screw light bulb one men screw anything,16
"A woman has twins, and gives them up for adoption. One of them goes to a family in Egypt and is named ""Amal."" The other goes to a family in Spain; they name him ""Juan."" Years later, Juan sends a picture of himself to his mom. Upon receiving the picture, she tells her husband that she wishes she also had a picture of Amal. Her husband responds, ""But they are twins-if you've seen Juan, you've seen Amal.",woman twin give adoption one go family egypt named amal go family spain name juan years later juan sends picture mom upon receiving picture tell husband wish also picture amal husband responds seen juan seen amal,77
"How many teddybears does it take to change a lightbulb? It takes only one teddybear, but it takes a whole lot of lightbulbs.",many teddybears take change lightbulb take one teddybear take whole lot lightbulb,23
"A group of managers were given the assignment to measure the height of a flagpole. So they go out to the flagpole with ladders and tape measures, and they're falling off the ladders, dropping the tape measures - the whole thing is just a mess. An engineer comes along and sees what they're trying to do, walks over, pulls the flagpole out of the ground, lays it flat, measures it from end to end, gives the measurement to one of the managers and walks away. After the engineer has gone, one manager turns to another and laughs. ""Isn't that just like an engineer, we're looking for the height and he gives us the length.""",group manager given assignment measure height flagpole go flagpole ladder tape measure falling ladder dropping tape measure whole thing mess engineer come along see trying walk pull flagpole ground lay flat measure end end give measurement one manager walk away engineer gone one manager turn another laugh like engineer looking height give u length,114
"Two men are discussing the age old question: who enjoys sex more, the man or the woman? A woman walks by and listens in for awhile and then interrupts: ""Listen you guys. You know when your ear itches and you put in your little finger and wiggle it around for awhile? Afterward, which feels better, your finger or your ear?""",two men discussing age old question enjoys sex man woman woman walk listens awhile interrupt listen guy know ear itch put little finger wiggle around awhile afterward feel better finger ear,60
How many feminists does it take to screw in a light bulb? That's not funny.,many feminist take screw light bulb funny,15
"Three engineering students were gathered together discussing the possible designers of the human body. One said, ""It was a mechanical engineer. Just look at all the joints."" Another said, ""No, it was an electrical engineer. The nervous systems many thousands of electrical connections."" The last said, ""Actually it was a civil engineer. Who else would run a toxic waste pipeline through a recreational area?""",three engineering student gathered together discussing possible designer human body one said mechanical engineer look joint another said electrical engineer nervous system many thousand electrical connection last said actually civil engineer else would run toxic waste pipeline recreational area,64
"Two kindergarten girls were talking outside: one said, ""You won't believe what I saw on the patio yesterday--a condom!"" The second girl asked, ""What's a patio?""",two kindergarten girl talking outside one said wo believe saw patio yesterday condom second girl asked patio,26
Q: What is the Australian word for a boomerang that won't come back? A: A stick,q australian word boomerang wo come back stick,16
"The father was very anxious to marry off his only daughter so he wanted to impress her date. ""Do you like to screw,"" he says. ""Huh"" replied the surprised first date. ""My daughter she loves to screw and she's good at it, you and her should go screw,"" carefully explained the father. Now very interested the boy replied, ""Yes, sir."" Minutes later the girl came down the stairs, kissed her father goodbye and the couple left. After only a few minutes she reappeared, furious, dress torn, hair a mess and screamed ""Dammit, Daddy, it's the TWIST, get it straight!""",father anxious marry daughter wanted impress date like screw say huh replied surprised first date daughter love screw good go screw carefully explained father interested boy replied yes sir minutes later girl came stair kissed father goodbye couple left minute reappeared furious dress torn hair mess screamed dammit daddy twist get straight,99
Q. What is orange and sounds like a parrot? A. A carrot.,q orange sound like parrot carrot,12
"This guys wife asks, ""Honey if I died would you remarry?"" and he replies, ""Well, after a considerable period of grieving, we all need companionship, I guess I would."" She then asks, ""If I died and you remarried, would she live in this house?"" and he replies, ""We've spent a lot of time and money getting this house just the way we want it. I'm not going to get rid of my house, I guess she would."" ""If I died and you remarried, and she lived in this house, would she sleep in our bed?"" and he says, ""That bed is brand new, we just paid two thousand dollars for it, it's going to last a long time, I guess she would."" So she asks, ""If I died and you remarried, and she lived in this house, and slept in our bed, would she use my golf clubs?"" ""Oh no, she's left handed.""",guy wife asks honey died would remarry reply well considerable period grieving need companionship guess would asks died remarried would live house reply spent lot time money getting house way want going get rid house guess would died remarried lived house would sleep bed say bed brand new paid two thousand dollar going last long time guess would asks died remarried lived house slept bed would use golf club oh left handed,153
Why are there so many Jones's in the phone book? Because they all have phones.,many jones phone book phone,15
Q. What's the difference between a man and a toilet? A. A toilet doesn't follow you around after you use it.,q difference man toilet toilet follow around use,21
"A dog walks into Western Union and asks the clerk to send a telegram. He fills out a form on which he writes down the telegram he wishes to send: ""Bow wow wow, Bow wow wow."" The clerk says, ""You can add another 'Bow wow' for the same price."" The dog responded, ""Now wouldn't that sound a little silly?""",dog walk western union asks clerk send telegram fill form writes telegram wish send bow wow wow bow wow wow clerk say add another wow price dog responded would sound little silly,59
"On the first day of college, the Dean addressed the students, pointing out some of the rules: ""The female dormitory will be out-of-bounds for all male students and the male dormitory to the female students. Anybody caught breaking this rule will be finded $20 the first time."" He continued, ""Anybody caught breaking this rule the second time will be fined $60. Being caught a third time will cost you a fine of $180. Are there any questions ?"" At this point, a male student in the crowd inquired: ""How much for a season pass ?""",first day college dean addressed student pointing rule female dormitory male student male dormitory female student anybody caught breaking rule finded _num_ first time continued anybody caught breaking rule second time fined _num_ caught third time cost fine _num_ question point male student crowd inquired much season pas,95
